"species","group"
"Antimora.rostrata",1
"Bathydraco.antarcticus",1
"Bathyraja.eatonii",1
"Bathyraja.irrasa",1
"Gobionotothen.acuta",1
"Muraenolepis.spp",1
"Paraliparis.spp.",1
"Zanclorhynchus.spinifer",1
"Channichthys.rhinoceratus.velifer",2
"Lepidonotothen.mizops",3
"Lepidonotothen.squamifrons",3
"Lycodapus.antarcticus",3
"Bathyraja.murrayi",4
"Champsocephalus.gunnari",4
"Dissostichus.eleginoides",4
"Etmopterus.viator",4
"Macrourus.spp",4
"Mancopsetta.maculata",4
"Notothenia.rossii",4
"Paradiplospinus.gracilis",4
